iteration,loss
50,4.774299621582031
100,2.345179557800293
150,1.8852770328521729
200,1.991077184677124
250,1.6674426794052124
300,1.7962833642959595
350,1.6401925086975098
400,1.5856318473815918
450,1.548912763595581
500,1.5121241807937622
550,1.4421920776367188
600,1.5605700016021729
650,1.5018199682235718
700,1.4695643186569214
750,284.6888427734375
800,11.920331954956055
850,2.1563541889190674
900,1.9933342933654785
950,1.7354650497436523
1000,1.7286701202392578
1050,1.7236213684082031
1100,1.6696044206619263
1150,1.7180333137512207
1200,1.741201639175415
1250,1.8435600996017456
1300,1.6891452074050903
