iteration,loss
50,1.822519302368164
100,1.7773677110671997
150,1.6629478931427002
200,1.7471199035644531
250,1.6968344449996948
300,1.7042745351791382
350,1.6558923721313477
400,1.5255711078643799
450,1.5455636978149414
500,1.5883636474609375
550,1.472266674041748
600,1.572906255722046
650,1.461731195449829
700,1.4421329498291016
750,1.4503538608551025
800,1.5291763544082642
850,1.4105478525161743
900,1.4102259874343872
950,1.4422016143798828
1000,1.4210160970687866
1050,1.468738317489624
1100,1.2945095300674438
1150,1.5045446157455444
1200,1.4944415092468262
1250,1.4760479927062988
1300,1.358315110206604
1350,1.384072184562683
1400,1.5735735893249512
1450,1.3635971546173096
1500,1.3068150281906128
1550,1.457047462463379
1600,1.5206036567687988
1650,1.3592844009399414
1700,1.3505769968032837
1750,1.3897686004638672
1800,1.3952088356018066
1850,1.2983512878417969
1900,1.2863558530807495
1950,1.2409842014312744
2000,1.3523017168045044
2050,1.3479174375534058
2100,1.3720873594284058
2150,1.3077598810195923
2200,1.195544719696045
2250,1.250811219215393
2300,1.3293405771255493
2350,1.429516315460205
2400,1.2386319637298584
2450,1.2830731868743896
2500,1.3879740238189697
2550,1.2925500869750977
2600,1.1961475610733032
2650,1.2185500860214233
2700,1.2840303182601929
2750,1.2267308235168457
2800,1.1929501295089722
2850,1.3086082935333252
2900,1.2462918758392334
2950,1.1934109926223755
3000,1.2900506258010864
3050,1.2529247999191284
3100,1.3870364427566528
3150,1.3343108892440796
3200,1.3492552042007446
3250,1.3290488719940186
3300,1.2676712274551392
3350,1.1860566139221191
3400,1.1994341611862183
3450,1.2673583030700684
3500,1.2397828102111816
3550,1.2616472244262695
3600,1.244329810142517
3650,1.1031768321990967
3700,1.205277919769287
3750,1.1231659650802612
3800,1.0548726320266724
3850,1.1349408626556396
3900,1.423887848854065
3950,1.2364814281463623
4000,1.1728240251541138
4050,1.1763627529144287
4100,1.2375699281692505
4150,1.1759533882141113
4200,1.1796401739120483
4250,1.2473769187927246
4300,1.2811027765274048
4350,1.235584020614624
4400,1.200241208076477
4450,1.326720118522644
